UTC Time,Latitude,Longitude,GForce,satCount
135057.000,51.467404,5.373990,0.05,20
135057.000,51.467404,5.373990,0.03,20
135057.000,51.467404,5.373990,0.04,20
135057.000,51.467404,5.373990,0.04,20
135058.000,51.467404,5.373989,0.02,20
135058.000,51.467404,5.373989,0.01,20
135058.000,51.467404,5.373989,0.05,20
135058.000,51.467404,5.373989,0.04,20
135058.000,51.467404,5.373989,0.07,20
135058.000,51.467404,5.373989,0.08,20
135058.000,51.467404,5.373989,0.07,20
135058.000,51.467404,5.373989,0.03,20
135058.000,51.467404,5.373989,0.07,20
135058.000,51.467404,5.373989,0.04,20
135059.000,51.467405,5.373989,0.04,19
135059.000,51.467405,5.373989,0.08,19
135059.000,51.467405,5.373989,0.07,19
135059.000,51.467405,5.373989,0.03,19
135059.000,51.467405,5.373989,0.06,19
135059.000,51.467405,5.373989,0.05,19
135059.000,51.467405,5.373989,0.03,19
135059.000,51.467405,5.373989,0.06,19
135059.000,51.467405,5.373989,0.08,19
135059.000,51.467405,5.373989,0.02,19
135100.000,51.467405,5.373989,0.07,19
135100.000,51.467405,5.373989,0.04,19
135100.000,51.467405,5.373989,0.20,19
135100.000,51.467405,5.373989,0.16,19
135100.000,51.467405,5.373989,0.22,19
135100.000,51.467405,5.373989,0.22,19
135100.000,51.467405,5.373989,0.24,19
135100.000,51.467405,5.373989,0.25,19
135100.000,51.467405,5.373989,0.21,19
135100.000,51.467405,5.373989,0.28,19
135101.000,51.467400,5.373989,0.32,19
135101.000,51.467400,5.373989,0.29,19
135101.000,51.467400,5.373989,0.32,19
135101.000,51.467400,5.373989,0.38,19
135101.000,51.467400,5.373989,0.31,19
135101.000,51.467400,5.373989,0.30,19
135101.000,51.467400,5.373989,0.30,19
135101.000,51.467400,5.373989,0.34,19
135101.000,51.467400,5.373989,0.34,19
135101.000,51.467400,5.373989,0.36,19
135102.000,51.467381,5.373992,0.35,19
135102.000,51.467381,5.373992,0.31,19
135102.000,51.467381,5.373992,0.34,19
135102.000,51.467381,5.373992,0.34,19
135102.000,51.467381,5.373992,0.36,19
135102.000,51.467381,5.373992,0.40,19
135102.000,51.467381,5.373992,0.23,19
135102.000,51.467381,5.373992,0.26,19
135102.000,51.467381,5.373992,0.29,19
135102.000,51.467381,5.373992,0.22,19
135103.000,51.467337,5.373988,0.24,19
135103.000,51.467337,5.373988,0.31,19
135103.000,51.467337,5.373988,0.25,19
135103.000,51.467337,5.373988,0.27,19
135103.000,51.467337,5.373988,0.25,19
135103.000,51.467337,5.373988,0.24,19
